Id,Label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,forks,cluster
continental/ecal,continental/ecal,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
tier4/AutomanTools,tier4/AutomanTools,,4.0,0.44262299999999993,0.5411520000000001,0.008248,4.0,25.0,5
cv-core/MIT-Driverless-CV-TrainingInfra,cv-core/MIT-Driverless-CV-TrainingInfra,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
Robofied/Awesome-Computer-Vision-Guide,Robofied/Awesome-Computer-Vision-Guide,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
JdeRobot/BehaviorStudio,JdeRobot/BehaviorStudio,,4.0,0.437838,0.532922,0.0,4.0,25.0,5
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
hyrise/Cockpit,hyrise/Cockpit,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
smoke-trees/gesture-drive,smoke-trees/gesture-drive,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car,,4.0,0.437838,0.532922,0.0,4.0,20.0,5
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow,,4.0,0.391304,0.417695,0.0,4.0,30.0,4
lgsvl/simulator,lgsvl/simulator,,4.0,0.407035,0.441358,0.00036,1.0,40.0,4
generalized-intelligence/GAAS,generalized-intelligence/GAAS,,,,,,,,4
lgsvl/lanefollowing,lgsvl/lanefollowing,,4.0,0.393204,0.423868,0.0,1.0,25.0,4
nap-lab/apollo-documentation,nap-lab/apollo-documentation,,4.0,0.391304,0.417695,0.0,4.0,20.0,4
for-geeks/geek-car,for-geeks/geek-car,,4.0,0.393204,0.423868,0.0,4.0,20.0,5
tareeq-av/tareeqav,tareeq-av/tareeqav,,4.0,0.395122,0.425926,0.008222,6.0,20.0,4
HotzoneAuto/diamond-auto,HotzoneAuto/diamond-auto,,4.0,0.393204,0.423868,0.0,4.0,20.0,5
ROBOTIS-GIT/autorace_track,ROBOTIS-GIT/autorace_track,,,,,,,,0
ROBOTIS-GIT/turtlebot3_autorace,ROBOTIS-GIT/turtlebot3_autorace,,,,,,,,0
NGCP/GCS,NGCP/GCS,,,,,,,,0
NGCP/MAVSS,NGCP/MAVSS,,,,,,,,0
intel/ad-rss-lib,intel/ad-rss-lib,,5.0,0.30566,0.32674899999999996,0.0,2.0,25.0,2
CSLDepend/AVFI,CSLDepend/AVFI,,5.0,0.30916,0.337037,0.0,2.0,20.0,2
argos-research/autonomous-driving,argos-research/autonomous-driving,,5.0,0.30566,0.32674899999999996,0.0,2.0,20.0,2
bark-simulator/bark-ml,bark-simulator/bark-ml,,5.0,0.33471100000000004,0.37407399999999996,0.000411,2.0,20.0,0
AuroAi/docker_tensorflow,AuroAi/docker_tensorflow,,5.0,0.30566,0.32674899999999996,0.0,2.0,20.0,0
carla-simulator/leaderboard,carla-simulator/leaderboard,,5.0,0.31153800000000004,0.349383,0.016238,2.0,25.0,0
duckietown/gym-duckietown,duckietown/gym-duckietown,,5.0,0.306818,0.338889,0.0,4.0,30.0,5
chalmers-revere/opendlv.lynx,chalmers-revere/opendlv.lynx,,,,,,,,0
chalmers-revere/opendlv.io,chalmers-revere/opendlv.io,,,,,,,,0
se-research/video-codec-performance-for-autonomous-driving,se-research/video-codec-performance-for-autonomous-driving,,,,,,,,0
srmauvsoftware/alpheus,srmauvsoftware/alpheus,,1.0,1.0,1.0,0.0,5.0,20.0,0
srmauvsoftware/srmauvsoftware.github.io,srmauvsoftware/srmauvsoftware.github.io,,1.0,1.0,1.0,0.0,5.0,20.0,0
srmauvsoftware/srmauv,srmauvsoftware/srmauv,,1.0,1.0,1.0,0.0,5.0,20.0,0
AuTURBO/autorace2017-team-loading,AuTURBO/autorace2017-team-loading,,,,,,,,0
AuTURBO/auturbo_autorace2017_team_honey,AuTURBO/auturbo_autorace2017_team_honey,,,,,,,,0
bmj-autonomous/muleAI,bmj-autonomous/muleAI,,6.0,0.229462,0.247325,0.0,0.0,20.0,0
DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-HW,DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-HW,,,,,,,,0
DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-Server,DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-Server,,,,,,,,0
DRL-CASIA/Autonomous-Driving,DRL-CASIA/Autonomous-Driving,,,,,,,,0
DRL-CASIA/Collected-Autonomous-Driving,DRL-CASIA/Collected-Autonomous-Driving,,,,,,,,0
RobolinkInc/RoPi,RobolinkInc/RoPi,,,,,,,,0
berkeleyauv/perception,berkeleyauv/perception,,,,,,,,0
se2p/tool-competition-av,se2p/tool-competition-av,,5.0,0.306818,0.338889,0.0,4.0,20.0,0
AutonomousCarProject/CarControl,AutonomousCarProject/CarControl,,,,,,,,0
AutonomousCarProject/auto_racer,AutonomousCarProject/auto_racer,,,,,,,,0
tianbot/tianbot_racecar,tianbot/tianbot_racecar,,,,,,,,0
tianbot/tianracer,tianbot/tianracer,,,,,,,,0
usdot-fhwa-stol/carma-platform,usdot-fhwa-stol/carma-platform,,5.0,0.30566,0.337449,0.00406,1.0,25.0,0
usdot-fhwa-stol/carma-messenger,usdot-fhwa-stol/carma-messenger,,5.0,0.30566,0.337449,0.00406,1.0,20.0,0
autowarefoundation/modelzoo,autowarefoundation/modelzoo,,5.0,0.30566,0.333333,0.000925,1.0,20.0,5
KNR-Selfie/selfie_f1tenth,KNR-Selfie/selfie_f1tenth,,,,,,,,0
futurice/maximum-aittack,futurice/maximum-aittack,,,,,,,,0
markku-ai/track,markku-ai/track,,,,,,,,0
vmwarecode/Self-Driving-Operations-Sample-Workflows-for-vRO-MP-2.0,vmwarecode/Self-Driving-Operations-Sample-Workflows-for-vRO-MP-2.0,,,,,,,,0
vmwarecode/Self-Driving-Operations---vSphere-Security-Guide---Virtual-Machines---vRO-MP-3.0,vmwarecode/Self-Driving-Operations---vSphere-Security-Guide---Virtual-Machines---vRO-MP-3.0,,,,,,,,0
usdot-fhwa-stol/carma-cloud,usdot-fhwa-stol/carma-cloud,,6.0,0.235465,0.257819,0.0,1.0,20.0,0
purdue-arc/autonomous_car_RRT,purdue-arc/autonomous_car_RRT,,,,,,,,0
purdue-arc/autonomous_car_state_estimator,purdue-arc/autonomous_car_state_estimator,,,,,,,,0
purdue-arc/autonomous_car_misc,purdue-arc/autonomous_car_misc,,,,,,,,0
erdos-project/erdos,erdos-project/erdos,,6.0,0.238938,0.262963,0.0,2.0,25.0,0
erdos-project/pylot,erdos-project/pylot,,6.0,0.238938,0.262963,0.0,2.0,25.0,0
Roboy/autonomous_driving_v2,Roboy/autonomous_driving_v2,,2.0,0.666667,0.75,0.0,3.0,20.0,0
potato-chip-studios/Land-Team-Repository,potato-chip-studios/Land-Team-Repository,,,,,,,,0
potato-chip-studios/Boat-Team-Repository,potato-chip-studios/Boat-Team-Repository,,,,,,,,0
hit-haui/model_notTrashCar,hit-haui/model_notTrashCar,,,,,,,,0
hit-haui/data-generator-notTrashCar,hit-haui/data-generator-notTrashCar,,,,,,,,0
fpt-corp/DiRa,fpt-corp/DiRa,,,,,,,,0
hit-haui/car_controller_notTrashCar,hit-haui/car_controller_notTrashCar,,,,,,,,0
PacktPublishing/The-Complete-Self-Driving-Car-Course---Applied-Deep-Learning,PacktPublishing/The-Complete-Self-Driving-Car-Course---Applied-Deep-Learning,,,,,,,,0
PacktPublishing/Autonomous-Cars-Deep-Learning-and-Computer-Vision-in-Python,PacktPublishing/Autonomous-Cars-Deep-Learning-and-Computer-Vision-in-Python,,,,,,,,0
PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,,,,,,,,0
PacktPublishing/Applied-Deep-Learning-and-Computer-Vision-for-Self-Driving-Cars,PacktPublishing/Applied-Deep-Learning-and-Computer-Vision-for-Self-Driving-Cars,,,,,,,,0
tier4/AutowareArchitectureProposal.proj,tier4/AutowareArchitectureProposal.proj,,5.0,0.31764699999999996,0.35493800000000003,0.0011560000000000001,1.0,30.0,0
mlab-upenn/f110_gym,mlab-upenn/f110_gym,,,,,,,,0
mlab-upenn/f110-fall2019-skeletons,mlab-upenn/f110-fall2019-skeletons,,,,,,,,0
open-mmlab/OpenPCDet,open-mmlab/OpenPCDet,,5.0,0.284211,0.299794,0.0,6.0,40.0,4
EclipseFdn/openpass.eclipse.org,EclipseFdn/openpass.eclipse.org,,,,,,,,0
EclipseFdn/opengenesis.eclipse.org,EclipseFdn/opengenesis.eclipse.org,,,,,,,,0
MAAV-Software/mission8,MAAV-Software/mission8,,,,,,,,0
MAAV-Software/mission9-2020,MAAV-Software/mission9-2020,,,,,,,,0
szenergy/szenergy-utility-programs,szenergy/szenergy-utility-programs,,,,,,,,0
szenergy/awesome-lidar,szenergy/awesome-lidar,,,,,,,,0
szenergy/nissanleaf-lgsvl,szenergy/nissanleaf-lgsvl,,,,,,,,0
secret-city-wildbots/AutonomousPathPlanner,secret-city-wildbots/AutonomousPathPlanner,,,,,,,,0
secret-city-wildbots/2021-Skillz-Robot,secret-city-wildbots/2021-Skillz-Robot,,,,,,,,0
CankayaUniversity/ceng-407-408-2019-2020-Autonomous-Car,CankayaUniversity/ceng-407-408-2019-2020-Autonomous-Car,,,,,,,,0
CankayaUniversity/ceng-407-408-2020-2021-3D-Object-Detection-for-Self-Driving-Cars,CankayaUniversity/ceng-407-408-2020-2021-3D-Object-Detection-for-Self-Driving-Cars,,,,,,,,0
aSmartVehicle/app-android,aSmartVehicle/app-android,,,,,,,,0
aSmartVehicle/esp32driver-board,aSmartVehicle/esp32driver-board,,,,,,,,0
aSmartVehicle/esp32driver,aSmartVehicle/esp32driver,,,,,,,,0
Holyheld/holy-contracts,Holyheld/holy-contracts,,,,,,,,0
Holyheld/holy_wallet,Holyheld/holy_wallet,,,,,,,,0
PUT-Motorsport/PUTM_DV_docker_2020,PUT-Motorsport/PUTM_DV_docker_2020,,,,,,,,0
PUT-Motorsport/PUTM_DV_Simulator_2020,PUT-Motorsport/PUTM_DV_Simulator_2020,,,,,,,,0
makerhanoi/via-docs,makerhanoi/via-docs,,,,,,,,0
makerhanoi/via-simulation-jeep,makerhanoi/via-simulation-jeep,,,,,,,,0
