Id,Label,timeset,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,forks,cluster
IMAGINARY/ethics-vehicles,IMAGINARY/ethics-vehicles,,4,0.437838,0.532922,0,4,20,4
hyrise/Cockpit,hyrise/Cockpit,,4,0.437838,0.532922,0,4,20,4
42-AI/42ai_autonomous_cars,42-AI/42ai_autonomous_cars,,4,0.437838,0.532922,0,4,20,4
smoke-trees/gesture-drive,smoke-trees/gesture-drive,,4,0.437838,0.532922,0,4,20,4
Photon-Lab/LiDAR-Robo-Car,Photon-Lab/LiDAR-Robo-Car,,4,0.437838,0.532922,0,4,20,4
tsinghua-rll/VoxelNet-tensorflow,tsinghua-rll/VoxelNet-tensorflow,,4,0.391304,0.417695,0,4,30,3
lgsvl/simulator,lgsvl/simulator,,4,0.407035,0.441358,0.00036,1,40,3
generalized-intelligence/GAAS,generalized-intelligence/GAAS,,,,,,,,
lgsvl/lanefollowing,lgsvl/lanefollowing,,4,0.393204,0.423868,0,1,25,3
nap-lab/apollo-documentation,nap-lab/apollo-documentation,,4,0.391304,0.417695,0,4,20,3
for-geeks/geek-car,for-geeks/geek-car,,4,0.393204,0.423868,0,4,20,3
tareeq-av/tareeqav,tareeq-av/tareeqav,,4,0.395122,0.425926,0.008222,6,20,3
HotzoneAuto/diamond-auto,HotzoneAuto/diamond-auto,,4,0.393204,0.423868,0,4,20,3
ROBOTIS-GIT/autorace_track,ROBOTIS-GIT/autorace_track,,,,,,,,
ROBOTIS-GIT/turtlebot3_autorace,ROBOTIS-GIT/turtlebot3_autorace,,,,,,,,
NGCP/GCS,NGCP/GCS,,,,,,,,
NGCP/MAVSS,NGCP/MAVSS,,,,,,,,
intel/ad-rss-lib,intel/ad-rss-lib,,5,0.30566,0.326749,0,2,25,3
CSLDepend/AVFI,CSLDepend/AVFI,,5,0.30916,0.337037,0,2,20,3
argos-research/autonomous-driving,argos-research/autonomous-driving,,5,0.30566,0.326749,0,2,20,3
bark-simulator/bark-ml,bark-simulator/bark-ml,,5,0.334711,0.374074,0.000411,2,20,3
AuroAi/docker_tensorflow,AuroAi/docker_tensorflow,,5,0.30566,0.326749,0,2,20,3
carla-simulator/leaderboard,carla-simulator/leaderboard,,5,0.311538,0.349383,0.016238,2,25,3
duckietown/gym-duckietown,duckietown/gym-duckietown,,5,0.306818,0.338889,0,4,30,5
chalmers-revere/opendlv.lynx,chalmers-revere/opendlv.lynx,,,,,,,,
chalmers-revere/opendlv.io,chalmers-revere/opendlv.io,,,,,,,,
se-research/video-codec-performance-for-autonomous-driving,se-research/video-codec-performance-for-autonomous-driving,,,,,,,,
srmauvsoftware/alpheus,srmauvsoftware/alpheus,,1,1,1,0,5,20,2
srmauvsoftware/srmauvsoftware.github.io,srmauvsoftware/srmauvsoftware.github.io,,1,1,1,0,5,20,2
srmauvsoftware/srmauv,srmauvsoftware/srmauv,,1,1,1,0,5,20,2
AuTURBO/autorace2017-team-loading,AuTURBO/autorace2017-team-loading,,,,,,,,
AuTURBO/auturbo_autorace2017_team_honey,AuTURBO/auturbo_autorace2017_team_honey,,,,,,,,
bmj-autonomous/muleAI,bmj-autonomous/muleAI,,6,0.229462,0.247325,0,0,20,0
DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-HW,DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-HW,,,,,,,,
DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-Server,DGSW-Autonomous-vehicle/DGSW-Autonomous-vehicle-Server,,,,,,,,
DRL-CASIA/Autonomous-Driving,DRL-CASIA/Autonomous-Driving,,,,,,,,
DRL-CASIA/Collected-Autonomous-Driving,DRL-CASIA/Collected-Autonomous-Driving,,,,,,,,
RobolinkInc/RoPi,RobolinkInc/RoPi,,,,,,,,
berkeleyauv/perception,berkeleyauv/perception,,,,,,,,
se2p/tool-competition-av,se2p/tool-competition-av,,5,0.306818,0.338889,0,4,20,3
AutonomousCarProject/CarControl,AutonomousCarProject/CarControl,,,,,,,,
AutonomousCarProject/auto_racer,AutonomousCarProject/auto_racer,,,,,,,,
tianbot/tianbot_racecar,tianbot/tianbot_racecar,,,,,,,,
tianbot/tianracer,tianbot/tianracer,,,,,,,,
usdot-fhwa-stol/carma-platform,usdot-fhwa-stol/carma-platform,,5,0.30566,0.337449,0.00406,1,25,3
usdot-fhwa-stol/carma-messenger,usdot-fhwa-stol/carma-messenger,,5,0.30566,0.337449,0.00406,1,20,3
autowarefoundation/modelzoo,autowarefoundation/modelzoo,,5,0.30566,0.333333,0.000925,1,20,3
KNR-Selfie/selfie_f1tenth,KNR-Selfie/selfie_f1tenth,,,,,,,,
futurice/maximum-aittack,futurice/maximum-aittack,,,,,,,,
markku-ai/track,markku-ai/track,,,,,,,,
vmwarecode/Self-Driving-Operations-Sample-Workflows-for-vRO-MP-2.0,vmwarecode/Self-Driving-Operations-Sample-Workflows-for-vRO-MP-2.0,,,,,,,,
vmwarecode/Self-Driving-Operations---vSphere-Security-Guide---Virtual-Machines---vRO-MP-3.0,vmwarecode/Self-Driving-Operations---vSphere-Security-Guide---Virtual-Machines---vRO-MP-3.0,,,,,,,,
usdot-fhwa-stol/carma-cloud,usdot-fhwa-stol/carma-cloud,,6,0.235465,0.257819,0,1,20,3
purdue-arc/autonomous_car_RRT,purdue-arc/autonomous_car_RRT,,,,,,,,
purdue-arc/autonomous_car_state_estimator,purdue-arc/autonomous_car_state_estimator,,,,,,,,
purdue-arc/autonomous_car_misc,purdue-arc/autonomous_car_misc,,,,,,,,
erdos-project/erdos,erdos-project/erdos,,6,0.238938,0.262963,0,2,25,3
erdos-project/pylot,erdos-project/pylot,,6,0.238938,0.262963,0,2,25,3
Roboy/autonomous_driving_v2,Roboy/autonomous_driving_v2,,2,0.666667,0.75,0,3,20,5
potato-chip-studios/Land-Team-Repository,potato-chip-studios/Land-Team-Repository,,,,,,,,
potato-chip-studios/Boat-Team-Repository,potato-chip-studios/Boat-Team-Repository,,,,,,,,
hit-haui/model_notTrashCar,hit-haui/model_notTrashCar,,,,,,,,
hit-haui/data-generator-notTrashCar,hit-haui/data-generator-notTrashCar,,,,,,,,
fpt-corp/DiRa,fpt-corp/DiRa,,,,,,,,
hit-haui/car_controller_notTrashCar,hit-haui/car_controller_notTrashCar,,,,,,,,
PacktPublishing/The-Complete-Self-Driving-Car-Course---Applied-Deep-Learning,PacktPublishing/The-Complete-Self-Driving-Car-Course---Applied-Deep-Learning,,,,,,,,
PacktPublishing/Autonomous-Cars-Deep-Learning-and-Computer-Vision-in-Python,PacktPublishing/Autonomous-Cars-Deep-Learning-and-Computer-Vision-in-Python,,,,,,,,
PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,,,,,,,,
PacktPublishing/Applied-Deep-Learning-and-Computer-Vision-for-Self-Driving-Cars,PacktPublishing/Applied-Deep-Learning-and-Computer-Vision-for-Self-Driving-Cars,,,,,,,,
tier4/AutowareArchitectureProposal.proj,tier4/AutowareArchitectureProposal.proj,,5,0.317647,0.354938,0.001156,1,30,3
mlab-upenn/f110_gym,mlab-upenn/f110_gym,,,,,,,,
mlab-upenn/f110-fall2019-skeletons,mlab-upenn/f110-fall2019-skeletons,,,,,,,,
open-mmlab/OpenPCDet,open-mmlab/OpenPCDet,,5,0.284211,0.299794,0,6,40,3
EclipseFdn/openpass.eclipse.org,EclipseFdn/openpass.eclipse.org,,,,,,,,
EclipseFdn/opengenesis.eclipse.org,EclipseFdn/opengenesis.eclipse.org,,,,,,,,
MAAV-Software/mission8,MAAV-Software/mission8,,,,,,,,
MAAV-Software/mission9-2020,MAAV-Software/mission9-2020,,,,,,,,
szenergy/szenergy-utility-programs,szenergy/szenergy-utility-programs,,,,,,,,
szenergy/awesome-lidar,szenergy/awesome-lidar,,,,,,,,
szenergy/nissanleaf-lgsvl,szenergy/nissanleaf-lgsvl,,,,,,,,
secret-city-wildbots/AutonomousPathPlanner,secret-city-wildbots/AutonomousPathPlanner,,,,,,,,
secret-city-wildbots/2021-Skillz-Robot,secret-city-wildbots/2021-Skillz-Robot,,,,,,,,
CankayaUniversity/ceng-407-408-2019-2020-Autonomous-Car,CankayaUniversity/ceng-407-408-2019-2020-Autonomous-Car,,,,,,,,
CankayaUniversity/ceng-407-408-2020-2021-3D-Object-Detection-for-Self-Driving-Cars,CankayaUniversity/ceng-407-408-2020-2021-3D-Object-Detection-for-Self-Driving-Cars,,,,,,,,
aSmartVehicle/app-android,aSmartVehicle/app-android,,,,,,,,
aSmartVehicle/esp32driver-board,aSmartVehicle/esp32driver-board,,,,,,,,
aSmartVehicle/esp32driver,aSmartVehicle/esp32driver,,,,,,,,
Holyheld/holy-contracts,Holyheld/holy-contracts,,,,,,,,
Holyheld/holy_wallet,Holyheld/holy_wallet,,,,,,,,
PUT-Motorsport/PUTM_DV_docker_2020,PUT-Motorsport/PUTM_DV_docker_2020,,,,,,,,
PUT-Motorsport/PUTM_DV_Simulator_2020,PUT-Motorsport/PUTM_DV_Simulator_2020,,,,,,,,
makerhanoi/via-docs,makerhanoi/via-docs,,,,,,,,
makerhanoi/via-simulation-jeep,makerhanoi/via-simulation-jeep,,,,,,,,
